"","replication","arrivals","mean_patients_in_service","mean_queue_length_nurse","mean_waiting_time_nurse","mean_serve_time_nurse","utilisation_nurse","count_unseen_nurse","mean_waiting_time_unseen_nurse","mean_time_in_system"
"1",1,10733,2.56637020074799,0.10520909928277,0.425728757700504,9.90323518936087,0.492122985630607,0,NA,10.3288559048298
"2",2,10695,2.55170542422557,0.114061371115337,0.472287038723198,9.83728069023767,0.486951055118124,0,NA,10.3081754285003
"3",3,10649,2.6540471446109,0.144449219130156,0.603995226925706,10.1656664712417,0.501108065624227,1,1.19033791590482,10.7703393822181
"4",4,10707,2.53367118038898,0.0800199249644426,0.324136735131785,9.89959852615142,0.490622874244589,0,NA,10.2228206170952
"5",5,10957,2.71543268412635,0.163391782169935,0.644276877139557,10.0614171738295,0.510274515938844,0,NA,10.7057939407245
"6",6,10703,2.58171041912748,0.118596887968427,0.47362620587571,9.94829375975358,0.492862601876521,0,NA,10.4199541879946
"7",7,10824,2.66629915881152,0.130770145326357,0.537625988589109,10.1050987616019,0.506376813505849,0,NA,10.6389425280014
"8",8,10879,2.65053697703678,0.163549257984702,0.655113751375366,9.87224274686981,0.49710346658562,0,NA,10.5255838555249
"9",9,10999,2.64855545785159,0.139371972654399,0.541350167663717,9.86132165289501,0.502152720470533,0,NA,10.4021736290285
"10",10,10863,2.6279060665063,0.124539541854047,0.507502930287699,9.9440258116917,0.500147305858478,0,NA,10.4493018129539
"11",11,10746,2.60251103626217,0.116128516282485,0.458477759044668,10.0064652923105,0.497774302547759,0,NA,10.4604416392472
"12",12,10584,2.57226108078565,0.123066369329124,0.492982000903093,10.0080705872324,0.490471152386674,0,NA,10.49770625995
"13",13,10847,2.67989813637207,0.142091536267515,0.584915683986006,10.0892007442636,0.506777053554791,0,NA,10.6687592455549
"14",14,10765,2.61553469929739,0.139681147196198,0.54060755457928,9.95600929203568,0.496100748691471,0,NA,10.4952848921791
"15",15,10908,2.60341033791707,0.113725531024586,0.474895574775683,9.83435363530121,0.496577701958509,0,NA,10.3079566205511
